,Product Name,Price,Ratings,Reviews
152,"REDMI 13 5G (Orchid Pink, 128 GB)","₹13,687",4.3,"9,382 Ratings & 554 Reviews"
153,"POCO X7 5G (Yellow, 128 GB)","₹15,999",4.3,"9,020 Ratings & 888 Reviews"
154,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)","₹15,999",4.4,"11,541 Ratings & 1,202 Reviews"
155,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
156,Kechaoda K115,₹998,4.1,"40,503 Ratings & 2,623 Reviews"
157,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)","₹11,999",4.3,"1,942 Ratings & 119 Reviews"
158,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
159,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
160,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)","₹14,999",4.3,45 Ratings & 3 Reviews
161,"POCO M7 5G (Mint Green, 128 GB)","₹10,499",4.2,"3,801 Ratings & 243 Reviews"
162,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999",4.5,"21,759 Ratings & 656 Reviews"
163,Nokia 105 Classic with Charger,₹989,3.7,"5,435 Ratings & 350 Reviews"
164,"Samsung Galaxy S24 5G (Onyx Black, 256 GB)","₹55,999",4.6,"5,292 Ratings & 335 Reviews"
165,"IQOO Z10X 5G (Titanium, 128 GB)","₹13,600",4.4,975 Ratings & 68 Reviews
166,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)","₹10,999",4.4,"6,523 Ratings & 262 Reviews"
167,"IQOO Z10X 5G (Titanium, 256 GB)","₹16,649",4.4,485 Ratings & 26 Reviews
168,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","₹12,999",4.3,"2,246 Ratings & 230 Reviews"
169,"OPPO F27 Pro+ (Dusk Pink, 128 GB)","₹18,999",4.4,"5,143 Ratings & 241 Reviews"
